,X,Y,method,covar,alternative,n,r,CI95%,p-unc,marker,stage,system,ci_low,ci_high,p-fdr
69,ADRR,Scanned VAT mass (DXA),pearson,"['age', 'gender']",two-sided,554,0.01714449876878423,[-0.07  0.1 ],0.6877421979149643,^,Wake,Anthropometry and body composition,-0.07,0.1,0.8618588362613382
70,ADRR,Android tissue fat percent (DXA),pearson,"['age', 'gender']",two-sided,563,0.04233640494908423,[-0.04  0.12],0.31684201475813834,^,Wake,Anthropometry and body composition,-0.04,0.12,0.587327629474944
71,ADRR,Total fat mass (DXA),pearson,"['age', 'gender']",two-sided,563,0.03595914159471696,[-0.05  0.12],0.3952787800077243,^,Wake,Anthropometry and body composition,-0.05,0.12,0.665017843999323
72,ADRR,vat/fat,pearson,"['age', 'gender']",two-sided,554,0.028844156452627154,[-0.05  0.11],0.4988573394976328,^,Wake,vat/fat,-0.05,0.11,0.7422690895814559
73,ADRR,Liver viscosity (US),pearson,"['age', 'gender']",two-sided,564,0.001890777068584268,[-0.08  0.08],0.9643272865220474,^,Wake,Liver,-0.08,0.08,0.9856832021237663
74,ADRR,Liver attenuation (US),pearson,"['age', 'gender']",two-sided,558,0.011901879844203126,[-0.07  0.09],0.7794617675891454,^,Wake,Liver,-0.07,0.09,0.9110504897661243
75,ADRR,Liver sound speed (US),pearson,"['age', 'gender']",two-sided,564,-0.022606065316502444,[-0.11  0.06],0.592797346266103,^,Wake,Liver,-0.11,0.06,0.8058362122545473
76,ADRR,Liver elasticity (US),pearson,"['age', 'gender']",two-sided,563,0.004947787213879667,[-0.08  0.09],0.9069156530152472,^,Wake,Liver,-0.08,0.09,0.9649886480044638
77,ADRR,Carotid - intima media thickness (US),pearson,"['age', 'gender']",two-sided,538,0.017105075092744754,[-0.07  0.1 ],0.6927576495383234,^,Wake,Vascular,-0.07,0.1,0.8650307158256314
78,ADRR,Median daily caloric intake (DL),pearson,"['age', 'gender']",two-sided,653,-0.01971158045416448,[-0.1   0.06],0.6156553385627332,^,Wake,Nutrition,-0.1,0.06,0.8225956563789248
79,ADRR,Median daily carbohydrate caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,0.008945684516601457,[-0.07  0.09],0.8197921012431565,^,Wake,Nutrition,-0.07,0.09,0.9287252088620253
80,ADRR,Median daily lipid caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,-0.005028809242072359,[-0.08  0.07],0.8980992819973402,^,Wake,Nutrition,-0.08,0.07,0.961890503611809
81,ADRR,Median daily protein caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,-0.007134454569156496,[-0.08  0.07],0.8558291878885123,^,Wake,Nutrition,-0.08,0.07,0.9433146541255069
82,ADRR,Average width (FI),pearson,"['age', 'gender']",two-sided,345,-0.021879577829963345,[-0.13  0.08],0.6863711370422427,^,Wake,Vascular,-0.13,0.08,0.8616148316062197
83,ADRR,Fractal dimension (FI),pearson,"['age', 'gender']",two-sided,345,-0.04857378025066492,[-0.15  0.06],0.36980186372993873,^,Wake,Vascular,-0.15,0.06,0.6385296480915604
84,ADRR,Vessel density (FI),pearson,"['age', 'gender']",two-sided,345,-0.08088300677899368,[-0.19  0.03],0.1349258514845551,^,Wake,Vascular,-0.19,0.03,0.3466055474955822
132,COGI,Waist circumference,pearson,"['age', 'gender']",two-sided,653,-0.005272139237573857,[-0.08  0.07],0.8931973973387435,^,Wake,Anthropometry and body composition,-0.08,0.07,0.9610060401892369
133,COGI,Sitting BP diastolic,pearson,"['age', 'gender']",two-sided,653,0.04116163307425115,[-0.04  0.12],0.29433790232435186,^,Wake,Vascular,-0.04,0.12,0.5653454118246928
134,COGI,Sitting BP systolic,pearson,"['age', 'gender']",two-sided,653,0.07631092685317195,[-0.    0.15],0.0516370702139062,^,Wake,Vascular,-0.0,0.15,0.17517876070067678
135,COGI,BMI,pearson,"['age', 'gender']",two-sided,653,-0.002003948746941424,[-0.08  0.07],0.9593000671892873,^,Wake,Anthropometry and body composition,-0.08,0.07,0.9828389514351551
136,COGI,HDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,250,0.05608542225898613,[-0.07  0.18],0.3791495062460408,^,Wake,Lipids,-0.07,0.18,0.6487378164161502
137,COGI,WBC (BT),pearson,"['age', 'gender']",two-sided,296,0.024535718843367315,[-0.09  0.14],0.6752374545086984,^,Wake,Inflammatory markers,-0.09,0.14,0.8537903846671728
138,COGI,GGT (BT),pearson,"['age', 'gender']",two-sided,95,0.04217117390812522,[-0.16  0.24],0.6881533154673249,^,Wake,Liver,-0.16,0.24,0.8618588362613382
139,COGI,CRP (BT),pearson,"['age', 'gender']",two-sided,90,0.13191525621948336,[-0.08  0.33],0.22052126928604404,^,Wake,Inflammatory markers,-0.08,0.33,0.4778400996745098
140,COGI,AST\GOT (BT),pearson,"['age', 'gender']",two-sided,220,0.021242396415033015,[-0.11  0.15],0.7551376027365367,^,Wake,Liver,-0.11,0.15,0.8955400715870486
141,COGI,HbA1C (BT),pearson,"['age', 'gender']",two-sided,166,0.03563426506953329,[-0.12  0.19],0.6505525576084878,^,Wake,HbA1C,-0.12,0.19,0.8428511776175849
142,COGI,Total cholesterol (BT),pearson,"['age', 'gender']",two-sided,257,0.13424207095632437,[0.01 0.25],0.03212510886276914,^,Wake,Lipids,0.01,0.25,0.12236848484709537
143,COGI,Triglycerides (BT),pearson,"['age', 'gender']",two-sided,259,0.029354945826287927,[-0.09  0.15],0.6394967691442102,^,Wake,Lipids,-0.09,0.15,0.8386493784935464
144,COGI,LDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,132,0.09766843435323473,[-0.08  0.27],0.2689509772401821,^,Wake,Lipids,-0.08,0.27,0.5388947598596192
145,COGI,ALT\GPT (BT),pearson,"['age', 'gender']",two-sided,257,0.03431760457306773,[-0.09  0.16],0.5854258306287315,^,Wake,Liver,-0.09,0.16,0.8007247678478828
146,COGI,eGFR (BT),pearson,"['age', 'gender']",two-sided,288,-0.0045420177235067395,[-0.12  0.11],0.9390400192319577,^,Wake,Vascular,-0.12,0.11,0.9752749391163837
147,COGI,Total Sleep Time (SM),pearson,"['age', 'gender']",two-sided,653,-0.009494457114832943,[-0.09  0.07],0.8089443350183199,^,Wake,Sleep,-0.09,0.07,0.9244720090103651
148,COGI,AHI (SM),pearson,"['age', 'gender']",two-sided,645,-0.005140807657860869,[-0.08  0.07],0.8964833848731267,^,Wake,Sleep,-0.08,0.07,0.9618736142054272
149,COGI,Total Wake Time (SM),pearson,"['age', 'gender']",two-sided,653,0.008451675074460546,[-0.07  0.09],0.8295869213039173,^,Wake,Sleep,-0.07,0.09,0.9315800257384916
150,COGI,ODI (SM),pearson,"['age', 'gender']",two-sided,641,0.008314483182635639,[-0.07  0.09],0.8338476942028111,^,Wake,Sleep,-0.07,0.09,0.9330293308870045
151,COGI,Mean Oxygen Saturation (SM),pearson,"['age', 'gender']",two-sided,646,-0.05051133662789733,[-0.13  0.03],0.20048850838721272,^,Wake,Sleep,-0.13,0.03,0.4476950336710896
152,COGI,RDI (SM),pearson,"['age', 'gender']",two-sided,645,-0.033034176424219644,[-0.11  0.04],0.4030082781273582,^,Wake,Sleep,-0.11,0.04,0.6712053732009714
153,COGI,Scanned VAT mass (DXA),pearson,"['age', 'gender']",two-sided,554,0.02766637179336847,[-0.06  0.11],0.5165560652152947,^,Wake,Anthropometry and body composition,-0.06,0.11,0.7530470449833407
154,COGI,Android tissue fat percent (DXA),pearson,"['age', 'gender']",two-sided,563,-0.010346550755374481,[-0.09  0.07],0.8068261494587501,^,Wake,Anthropometry and body composition,-0.09,0.07,0.9235454110632846
155,COGI,Total fat mass (DXA),pearson,"['age', 'gender']",two-sided,563,-0.015589561392389225,[-0.1   0.07],0.7125418920658309,^,Wake,Anthropometry and body composition,-0.1,0.07,0.8770373829724124
156,COGI,vat/fat,pearson,"['age', 'gender']",two-sided,554,0.021709999683518198,[-0.06  0.1 ],0.6107709836410713,^,Wake,vat/fat,-0.06,0.1,0.8183217761825555
157,COGI,Liver viscosity (US),pearson,"['age', 'gender']",two-sided,564,0.0010731854733091425,[-0.08  0.08],0.9797479745973812,^,Wake,Liver,-0.08,0.08,0.9916394487053936
158,COGI,Liver attenuation (US),pearson,"['age', 'gender']",two-sided,558,0.052786303800274194,[-0.03  0.14],0.21396070193102928,^,Wake,Liver,-0.03,0.14,0.46744769215840587
159,COGI,Liver sound speed (US),pearson,"['age', 'gender']",two-sided,564,0.021693088474521165,[-0.06  0.1 ],0.6078230108947307,^,Wake,Liver,-0.06,0.1,0.8166035982427523
160,COGI,Liver elasticity (US),pearson,"['age', 'gender']",two-sided,563,-0.01954771013731778,[-0.1   0.06],0.6440759110319427,^,Wake,Liver,-0.1,0.06,0.8402443833701608
161,COGI,Carotid - intima media thickness (US),pearson,"['age', 'gender']",two-sided,538,-0.03759612832338599,[-0.12  0.05],0.3850176008367573,^,Wake,Vascular,-0.12,0.05,0.6557500901606271
162,COGI,Median daily caloric intake (DL),pearson,"['age', 'gender']",two-sided,653,0.025340683294380505,[-0.05  0.1 ],0.5186543671675442,^,Wake,Nutrition,-0.05,0.1,0.7551169552068125
163,COGI,Median daily carbohydrate caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,0.054437478411959866,[-0.02  0.13],0.16534557186249477,^,Wake,Nutrition,-0.02,0.13,0.39642039049011557
164,COGI,Median daily lipid caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,-0.057864679797974355,[-0.13  0.02],0.1402667099043717,^,Wake,Nutrition,-0.13,0.02,0.3553754071560429
165,COGI,Median daily protein caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,-0.022520058755598062,[-0.1   0.05],0.5662648710039351,^,Wake,Nutrition,-0.1,0.05,0.788218510229674
166,COGI,Average width (FI),pearson,"['age', 'gender']",two-sided,345,-0.004766320614221583,[-0.11  0.1 ],0.9299150210695438,^,Wake,Vascular,-0.11,0.1,0.9722290405824239
167,COGI,Fractal dimension (FI),pearson,"['age', 'gender']",two-sided,345,0.014459791264964963,[-0.09  0.12],0.7895958592685418,^,Wake,Vascular,-0.09,0.12,0.9170909206320772
168,COGI,Vessel density (FI),pearson,"['age', 'gender']",two-sided,345,0.024561719972211564,[-0.08  0.13],0.6503347006330729,^,Wake,Vascular,-0.08,0.13,0.8428511776175849
215,cv,Waist circumference,pearson,"['age', 'gender']",two-sided,653,0.07065494502462297,[-0.01  0.15],0.07161981936446207,^,Wake,Anthropometry and body composition,-0.01,0.15,0.22189062757437225
216,cv,Sitting BP diastolic,pearson,"['age', 'gender']",two-sided,653,0.008671050301391934,[-0.07  0.09],0.8252339682177309,^,Wake,Vascular,-0.07,0.09,0.9301017399264625
217,cv,Sitting BP systolic,pearson,"['age', 'gender']",two-sided,653,-0.015029557371156499,[-0.09  0.06],0.7018982253633617,^,Wake,Vascular,-0.09,0.06,0.8707638439677333
218,cv,BMI,pearson,"['age', 'gender']",two-sided,653,0.033964663068032856,[-0.04  0.11],0.3869386663726315,^,Wake,Anthropometry and body composition,-0.04,0.11,0.6572177070639911
219,cv,HDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,250,-0.0009221155808159946,[-0.13  0.12],0.9884724609205773,^,Wake,Lipids,-0.13,0.12,0.9936139936327392
220,cv,WBC (BT),pearson,"['age', 'gender']",two-sided,296,-0.018875812652767412,[-0.13  0.1 ],0.7472233796350305,^,Wake,Inflammatory markers,-0.13,0.1,0.8920307852667214
221,cv,GGT (BT),pearson,"['age', 'gender']",two-sided,95,0.03437788332442323,[-0.17  0.24],0.7435610959439335,^,Wake,Liver,-0.17,0.24,0.8907635464099914
222,cv,CRP (BT),pearson,"['age', 'gender']",two-sided,90,0.07572893063900292,[-0.14  0.28],0.48314653031360955,^,Wake,Inflammatory markers,-0.14,0.28,0.730611463393244
223,cv,AST\GOT (BT),pearson,"['age', 'gender']",two-sided,220,0.10660648124048223,[-0.03  0.24],0.11654258087705544,^,Wake,Liver,-0.03,0.24,0.31409787934491407
224,cv,HbA1C (BT),pearson,"['age', 'gender']",two-sided,166,0.12139481896418382,[-0.03  0.27],0.12151310698472119,^,Wake,HbA1C,-0.03,0.27,0.3223720159887911
225,cv,Total cholesterol (BT),pearson,"['age', 'gender']",two-sided,257,0.02539313254294549,[-0.1   0.15],0.6865299253094204,^,Wake,Lipids,-0.1,0.15,0.8616148981686783
226,cv,Triglycerides (BT),pearson,"['age', 'gender']",two-sided,259,0.042834365345224334,[-0.08  0.16],0.49419395889549356,^,Wake,Lipids,-0.08,0.16,0.7377570981531185
227,cv,LDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,132,-0.061161953901492365,[-0.23  0.11],0.48939842674126055,^,Wake,Lipids,-0.23,0.11,0.7348422296961445
228,cv,ALT\GPT (BT),pearson,"['age', 'gender']",two-sided,257,0.14283759845524463,[0.02 0.26],0.022522550402132826,^,Wake,Liver,0.02,0.26,0.0940740728454967
229,cv,eGFR (BT),pearson,"['age', 'gender']",two-sided,288,-0.12199609671943565,[-0.23 -0.01],0.039225530543931506,^,Wake,Vascular,-0.23,-0.01,0.14307420005123914
230,cv,Total Sleep Time (SM),pearson,"['age', 'gender']",two-sided,653,0.026462685105082037,[-0.05  0.1 ],0.5003062517235646,^,Wake,Sleep,-0.05,0.1,0.7432302634488127
231,cv,AHI (SM),pearson,"['age', 'gender']",two-sided,645,0.04934040394684926,[-0.03  0.13],0.21149203788348883,^,Wake,Sleep,-0.03,0.13,0.4634553014257478
232,cv,Total Wake Time (SM),pearson,"['age', 'gender']",two-sided,653,-0.013068079139955276,[-0.09  0.06],0.7392840790892524,^,Wake,Sleep,-0.09,0.06,0.8885199814387821
233,cv,ODI (SM),pearson,"['age', 'gender']",two-sided,641,0.0023326889411527463,[-0.08  0.08],0.9530704795658089,^,Wake,Sleep,-0.08,0.08,0.9804636949257447
234,cv,Mean Oxygen Saturation (SM),pearson,"['age', 'gender']",two-sided,646,0.01967356926955666,[-0.06  0.1 ],0.6182461633930211,^,Wake,Sleep,-0.06,0.1,0.8240292783472268
235,cv,RDI (SM),pearson,"['age', 'gender']",two-sided,645,0.06483761487081888,[-0.01  0.14],0.10045621419010003,^,Wake,Sleep,-0.01,0.14,0.28326043149291585
236,cv,Scanned VAT mass (DXA),pearson,"['age', 'gender']",two-sided,554,0.018864277847794528,[-0.06  0.1 ],0.6583120438302883,^,Wake,Anthropometry and body composition,-0.06,0.1,0.8456493726579035
237,cv,Android tissue fat percent (DXA),pearson,"['age', 'gender']",two-sided,563,0.03681880452865293,[-0.05  0.12],0.38407115314476437,^,Wake,Anthropometry and body composition,-0.05,0.12,0.6548754812704584
238,cv,Total fat mass (DXA),pearson,"['age', 'gender']",two-sided,563,0.02742776658095082,[-0.06  0.11],0.5167833903026795,^,Wake,Anthropometry and body composition,-0.06,0.11,0.7530470449833407
239,cv,vat/fat,pearson,"['age', 'gender']",two-sided,554,0.027776787846211844,[-0.06  0.11],0.5148831508743158,^,Wake,vat/fat,-0.06,0.11,0.7522976427848684
240,cv,Liver viscosity (US),pearson,"['age', 'gender']",two-sided,564,-0.015276913257156285,[-0.1   0.07],0.7178172771779902,^,Wake,Liver,-0.1,0.07,0.8786678225871151
241,cv,Liver attenuation (US),pearson,"['age', 'gender']",two-sided,558,0.010621331002753823,[-0.07  0.09],0.8026718745993852,^,Wake,Liver,-0.07,0.09,0.9221136211417077
242,cv,Liver sound speed (US),pearson,"['age', 'gender']",two-sided,564,-0.055059121785918826,[-0.14  0.03],0.19245738426665815,^,Wake,Liver,-0.14,0.03,0.43545589070421864
243,cv,Liver elasticity (US),pearson,"['age', 'gender']",two-sided,563,0.005907040613967317,[-0.08  0.09],0.888976039753176,^,Wake,Liver,-0.08,0.09,0.959461781549141
244,cv,Carotid - intima media thickness (US),pearson,"['age', 'gender']",two-sided,538,-0.0126450609630647,[-0.1   0.07],0.7702235146406796,^,Wake,Vascular,-0.1,0.07,0.9046463160183752
245,cv,Median daily caloric intake (DL),pearson,"['age', 'gender']",two-sided,653,-0.032345988733676674,[-0.11  0.04],0.4099805942557263,^,Wake,Nutrition,-0.11,0.04,0.6770417661007277
246,cv,Median daily carbohydrate caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,0.15309853797040227,[0.08 0.23],8.785346386914684e-05,^,Wake,Nutrition,0.08,0.23,0.0007305326741143718
247,cv,Median daily lipid caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,-0.14180377184953089,[-0.22 -0.07],0.0002839884909478586,^,Wake,Nutrition,-0.22,-0.07,0.002180324651859938
248,cv,Median daily protein caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,-0.06704322713839812,[-0.14  0.01],0.08740948031046714,^,Wake,Nutrition,-0.14,0.01,0.25577286206211086
249,cv,Average width (FI),pearson,"['age', 'gender']",two-sided,345,-0.028366266593662297,[-0.13  0.08],0.6005997659374015,^,Wake,Vascular,-0.13,0.08,0.8117429128618241
250,cv,Fractal dimension (FI),pearson,"['age', 'gender']",two-sided,345,-0.03949474790764338,[-0.14  0.07],0.4659604681289128,^,Wake,Vascular,-0.14,0.07,0.7177166347910723
251,cv,Vessel density (FI),pearson,"['age', 'gender']",two-sided,345,-0.06314274597558237,[-0.17  0.04],0.24348699504197494,^,Wake,Vascular,-0.17,0.04,0.507935207182106
297,eA1C,Waist circumference,pearson,"['age', 'gender']",two-sided,653,-0.0051900727198293545,[-0.08  0.07],0.8948501826362627,^,Wake,Anthropometry and body composition,-0.08,0.07,0.9618310477921962
298,eA1C,Sitting BP diastolic,pearson,"['age', 'gender']",two-sided,653,-0.0027800903530128362,[-0.08  0.07],0.9435593260072757,^,Wake,Vascular,-0.08,0.07,0.9761538797569078
299,eA1C,Sitting BP systolic,pearson,"['age', 'gender']",two-sided,653,0.02525368583765019,[-0.05  0.1 ],0.5200913906993483,^,Wake,Vascular,-0.05,0.1,0.755838304877352
300,eA1C,BMI,pearson,"['age', 'gender']",two-sided,653,0.0035903084735185394,[-0.07  0.08],0.927151008861064,^,Wake,Anthropometry and body composition,-0.07,0.08,0.9718301250259846
301,eA1C,HDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,250,-0.011589511793297765,[-0.14  0.11],0.8558999026470138,^,Wake,Lipids,-0.14,0.11,0.9433146541255069
302,eA1C,WBC (BT),pearson,"['age', 'gender']",two-sided,296,0.054262632668111856,[-0.06  0.17],0.3538590442162606,^,Wake,Inflammatory markers,-0.06,0.17,0.6209980252201301
303,eA1C,GGT (BT),pearson,"['age', 'gender']",two-sided,95,0.03957859865297801,[-0.17  0.24],0.7064205816509757,^,Wake,Liver,-0.17,0.24,0.8742478151394205
304,eA1C,CRP (BT),pearson,"['age', 'gender']",two-sided,90,-0.012410830977455177,[-0.22  0.2 ],0.9086324576180572,^,Wake,Inflammatory markers,-0.22,0.2,0.9649886480044638
305,eA1C,AST\GOT (BT),pearson,"['age', 'gender']",two-sided,220,0.06503779186545014,[-0.07  0.2 ],0.3391919384084876,^,Wake,Liver,-0.07,0.2,0.6061696994402612
306,eA1C,HbA1C (BT),pearson,"['age', 'gender']",two-sided,166,0.2574537608614866,[0.11 0.4 ],0.0008744628574865811,^,Wake,HbA1C,0.11,0.4,0.006023584251823809
307,eA1C,Total cholesterol (BT),pearson,"['age', 'gender']",two-sided,257,0.12497205890761941,[0.   0.24],0.04618904567920542,^,Wake,Lipids,0.0,0.24,0.16108996422686658
308,eA1C,Triglycerides (BT),pearson,"['age', 'gender']",two-sided,259,0.09378304707189769,[-0.03  0.21],0.1337610226780793,^,Wake,Lipids,-0.03,0.21,0.34473907183028396
309,eA1C,LDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,132,0.17329511519863441,[0.   0.34],0.048640463483560686,^,Wake,Lipids,0.0,0.34,0.16763202272302694
310,eA1C,ALT\GPT (BT),pearson,"['age', 'gender']",two-sided,257,0.05292582824949393,[-0.07  0.17],0.4000144504662668,^,Wake,Liver,-0.07,0.17,0.668908945511706
311,eA1C,eGFR (BT),pearson,"['age', 'gender']",two-sided,288,-0.019216636471341402,[-0.13  0.1 ],0.7462488751866463,^,Wake,Vascular,-0.13,0.1,0.8914258130530678
312,eA1C,Total Sleep Time (SM),pearson,"['age', 'gender']",two-sided,653,-0.04214923788889008,[-0.12  0.03],0.28289632832394024,^,Wake,Sleep,-0.12,0.03,0.5529568851790998
313,eA1C,AHI (SM),pearson,"['age', 'gender']",two-sided,645,-0.053889698054107295,[-0.13  0.02],0.1723039628894268,^,Wake,Sleep,-0.13,0.02,0.4062840619304692
314,eA1C,Total Wake Time (SM),pearson,"['age', 'gender']",two-sided,653,0.07438660649709669,[-0.    0.15],0.05783674994035476,^,Wake,Sleep,-0.0,0.15,0.190175565475523
315,eA1C,ODI (SM),pearson,"['age', 'gender']",two-sided,641,-0.0283243905233289,[-0.11  0.05],0.47477083218115,^,Wake,Sleep,-0.11,0.05,0.7232554795570849
316,eA1C,Mean Oxygen Saturation (SM),pearson,"['age', 'gender']",two-sided,646,-0.1259743422318619,[-0.2  -0.05],0.001358010540729357,^,Wake,Sleep,-0.2,-0.05,0.008945729629952173
317,eA1C,RDI (SM),pearson,"['age', 'gender']",two-sided,645,-0.10296568551520073,[-0.18 -0.03],0.00898001399230632,^,Wake,Sleep,-0.18,-0.03,0.04431228722750358
318,eA1C,Scanned VAT mass (DXA),pearson,"['age', 'gender']",two-sided,554,0.03666164797913059,[-0.05  0.12],0.3899598596429594,^,Wake,Anthropometry and body composition,-0.05,0.12,0.6601730879868012
319,eA1C,Android tissue fat percent (DXA),pearson,"['age', 'gender']",two-sided,563,-0.027083458497293794,[-0.11  0.06],0.5220619346718526,^,Wake,Anthropometry and body composition,-0.11,0.06,0.756878253579348
320,eA1C,Total fat mass (DXA),pearson,"['age', 'gender']",two-sided,563,-0.013229796131110305,[-0.1   0.07],0.7545326911809181,^,Wake,Anthropometry and body composition,-0.1,0.07,0.8954646705223599
321,eA1C,vat/fat,pearson,"['age', 'gender']",two-sided,554,0.043760037844653675,[-0.04  0.13],0.3047553107350181,^,Wake,vat/fat,-0.04,0.13,0.575778568280431
322,eA1C,Liver viscosity (US),pearson,"['age', 'gender']",two-sided,564,-0.06879233973069958,[-0.15  0.01],0.10328599646106548,^,Wake,Liver,-0.15,0.01,0.2883932041104346
323,eA1C,Liver attenuation (US),pearson,"['age', 'gender']",two-sided,558,-0.03106252122962281,[-0.11  0.05],0.46479658370309773,^,Wake,Liver,-0.11,0.05,0.7177166347910723
324,eA1C,Liver sound speed (US),pearson,"['age', 'gender']",two-sided,564,0.0011911348970672173,[-0.08  0.08],0.9775227156040764,^,Wake,Liver,-0.08,0.08,0.9910334890360342
325,eA1C,Liver elasticity (US),pearson,"['age', 'gender']",two-sided,563,0.030846955672297543,[-0.05  0.11],0.46589915771883283,^,Wake,Liver,-0.05,0.11,0.7177166347910723
326,eA1C,Carotid - intima media thickness (US),pearson,"['age', 'gender']",two-sided,538,-0.047611147815975884,[-0.13  0.04],0.27118903517497317,^,Wake,Vascular,-0.13,0.04,0.5417572441746507
327,eA1C,Median daily caloric intake (DL),pearson,"['age', 'gender']",two-sided,653,0.04512812479089906,[-0.03  0.12],0.25022476128421756,^,Wake,Nutrition,-0.03,0.12,0.5158450452908215
328,eA1C,Median daily carbohydrate caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,0.10755773947917775,[0.03 0.18],0.006014270205326353,^,Wake,Nutrition,0.03,0.18,0.031880330736827577
329,eA1C,Median daily lipid caloric intake (%) (DL),pearson,"['age', 'gender']",two-sided,653,-0.08935824945613448,[-0.17 -0.01],0.022599961494201858,^,Wake,Nutrition,-0.17,-0.01,0.0940740728454967
